file,filename,model,domain,condition,iteration,corpus_type,is_partial,word_count,file_size_kb,issues,source,US_Distinctive_Term_Frequency,length_mismatch_warning
E:\Research paper\output\gemini_policy_drafts\Air innovation iteration 3 gemini.txt,Air innovation iteration 3 gemini.txt,Gemini,Air Pollution,Innovation,3.0,Primary,False,705,4.77,none,ai_draft,64.20765027322405,True
E:\Research paper\output\gemini_policy_drafts\Air innovation iteration 4 gemini.txt,Air innovation iteration 4 gemini.txt,Gemini,Air Pollution,Innovation,4.0,Primary,False,695,4.69,none,ai_draft,71.52875175315567,True
E:\Research paper\output\gemini_policy_drafts\Air innovation iteration 5 gemini.txt,Air innovation iteration 5 gemini.txt,Gemini,Air Pollution,Innovation,5.0,Primary,False,740,5.04,none,ai_draft,63.80208333333333,True
E:\Research paper\output\gemini_policy_drafts\Air innovation iteration 6 gemini.txt,Air innovation iteration 6 gemini.txt,Gemini,Air Pollution,Innovation,6.0,Primary,False,716,4.78,none,ai_draft,78.08219178082192,True
E:\Research paper\output\gemini_policy_drafts\Air innovation iteration 7 gemini.txt,Air innovation iteration 7 gemini.txt,Gemini,Air Pollution,Innovation,7.0,Primary,False,711,4.73,none,ai_draft,58.18673883626523,True
E:\Research paper\output\gemini_policy_drafts\Air innovation iteration 8 gemini.txt,Air innovation iteration 8 gemini.txt,Gemini,Air Pollution,Innovation,8.0,Primary,False,746,5.04,none,ai_draft,67.53246753246752,True
E:\Research paper\output\gemini_policy_drafts\Air innovation iteration 9 gemini.txt,Air innovation iteration 9 gemini.txt,Gemini,Air Pollution,Innovation,9.0,Primary,False,653,4.48,none,ai_draft,69.62962962962962,True
E:\Research paper\output\gemini_policy_drafts\Air status quo iteration 1 Gemini.txt,Air status quo iteration 1 Gemini.txt,Gemini,Air Pollution,Status Quo,1.0,Primary,False,821,5.35,none,ai_draft,86.95652173913044,True
E:\Research paper\output\gemini_policy_drafts\Air status quo iteration 10 gemini.txt,Air status quo iteration 10 gemini.txt,Gemini,Air Pollution,Status Quo,10.0,Primary,False,825,5.36,none,ai_draft,78.125,True
E:\Research paper\output\gemini_policy_drafts\Air status quo iteration 2 gemini.txt,Air status quo iteration 2 gemini.txt,Gemini,Air Pollution,Status Quo,2.0,Primary,False,884,5.56,none,ai_draft,74.40811724915446,True
E:\Research paper\output\gemini_policy_drafts\Air status quo iteration 3 gemini.txt,Air status quo iteration 3 gemini.txt,Gemini,Air Pollution,Status Quo,3.0,Primary,False,908,5.58,none,ai_draft,78.1078107810781,True
E:\Research paper\output\gemini_policy_drafts\Air status quo iteration 4 gemino.txt,Air status quo iteration 4 gemino.txt,Gemini,Air Pollution,Status Quo,4.0,Primary,False,827,5.17,none,ai_draft,67.22689075630252,True
E:\Research paper\output\gemini_policy_drafts\Air status quo iteration 5 gemini.txt,Air status quo iteration 5 gemini.txt,Gemini,Air Pollution,Status Quo,5.0,Primary,False,883,5.61,none,ai_draft,82.86674132138857,True
E:\Research paper\output\gemini_policy_drafts\Air status quo iteration 6 gemini.txt,Air status quo iteration 6 gemini.txt,Gemini,Air Pollution,Status Quo,6.0,Primary,False,813,5.11,none,ai_draft,76.82926829268293,True
E:\Research paper\output\gemini_policy_drafts\Air status quo iteration 8 gemini.txt,Air status quo iteration 8 gemini.txt,Gemini,Air Pollution,Status Quo,8.0,Primary,False,914,5.63,none,ai_draft,78.09110629067246,True
E:\Research paper\output\gemini_policy_drafts\Air unconstrained iteration 1 gemini.txt,Air unconstrained iteration 1 gemini.txt,Gemini,Air Pollution,Unconstrained,1.0,Primary,False,781,5.04,none,ai_draft,79.14572864321607,True
E:\Research paper\output\gemini_policy_drafts\Air unconstrained iteration 10 gemini.txt,Air unconstrained iteration 10 gemini.txt,Gemini,Air Pollution,Unconstrained,10.0,Primary,False,713,4.78,none,ai_draft,83.44733242134063,True
E:\Research paper\output\gemini_policy_drafts\Air unconstrained iteration 2 gemini.txt,Air unconstrained iteration 2 gemini.txt,Gemini,Air Pollution,Unconstrained,2.0,Primary,False,694,4.59,none,ai_draft,69.1114245416079,True
E:\Research paper\output\gemini_policy_drafts\Air unconstrained iteration 3 gemini.txt,Air unconstrained iteration 3 gemini.txt,Gemini,Air Pollution,Unconstrained,3.0,Primary,False,858,5.51,none,ai_draft,77.1889400921659,True
E:\Research paper\output\gemini_policy_drafts\Air unconstrained iteration 4 gemini.txt,Air unconstrained iteration 4 gemini.txt,Gemini,Air Pollution,Unconstrained,4.0,Primary,False,728,4.7,none,ai_draft,85.02024291497976,True
E:\Research paper\output\gemini_policy_drafts\Air unconstrained iteration 5 gemini.txt,Air unconstrained iteration 5 gemini.txt,Gemini,Air Pollution,Unconstrained,5.0,Primary,False,764,4.9,none,ai_draft,88.91752577319588,True
E:\Research paper\output\gemini_policy_drafts\Air unconstrained iteration 6 gemini.txt,Air unconstrained iteration 6 gemini.txt,Gemini,Air Pollution,Unconstrained,6.0,Primary,False,731,4.81,none,ai_draft,84.56375838926175,True
E:\Research paper\output\gemini_policy_drafts\Air unconstrained iteration 7 gemini.txt,Air unconstrained iteration 7 gemini.txt,Gemini,Air Pollution,Unconstrained,7.0,Primary,False,672,4.23,none,ai_draft,73.20644216691069,True
E:\Research paper\output\gemini_policy_drafts\Air unconstrained iteration 8 gemini.txt,Air unconstrained iteration 8 gemini.txt,Gemini,Air Pollution,Unconstrained,8.0,Primary,False,728,4.65,none,ai_draft,60.893098782138026,True
E:\Research paper\output\gemini_policy_drafts\Air unconstrained iteration 9 gemini.txt,Air unconstrained iteration 9 gemini.txt,Gemini,Air Pollution,Unconstrained,9.0,Primary,False,698,4.61,none,ai_draft,82.17270194986072,True
E:\Research paper\output\gemini_policy_drafts\DPDP innovation iteration 1.txt,DPDP innovation iteration 1.txt,Gemini,Data Protection,Innovation,1.0,Primary,False,715,4.88,none,ai_draft,59.219380888290715,True
E:\Research paper\output\gemini_policy_drafts\DPDP innovation iteration 10 gemini.txt,DPDP innovation iteration 10 gemini.txt,Gemini,Data Protection,Innovation,10.0,Primary,False,758,5.1,none,ai_draft,80.35714285714286,True
E:\Research paper\output\gemini_policy_drafts\DPDP innovation iteration 2 gemini.txt,DPDP innovation iteration 2 gemini.txt,Gemini,Data Protection,Innovation,2.0,Primary,False,769,5.09,none,ai_draft,59.56907477820025,True
E:\Research paper\output\gemini_policy_drafts\DPDP innovation iteration 3 gemini.txt,DPDP innovation iteration 3 gemini.txt,Gemini,Data Protection,Innovation,3.0,Primary,False,787,5.26,none,ai_draft,74.53416149068323,True
E:\Research paper\output\gemini_policy_drafts\DPDP innovation iteration 4 gemini.txt,DPDP innovation iteration 4 gemini.txt,Gemini,Data Protection,Innovation,4.0,Primary,False,748,4.91,none,ai_draft,81.36482939632546,True
E:\Research paper\output\gemini_policy_drafts\DPDP innovation iteration 5 gemini.txt,DPDP innovation iteration 5 gemini.txt,Gemini,Data Protection,Innovation,5.0,Primary,False,827,5.52,none,ai_draft,63.52941176470588,True
E:\Research paper\output\gemini_policy_drafts\DPDP innovation iteration 6 gemini.txt,DPDP innovation iteration 6 gemini.txt,Gemini,Data Protection,Innovation,6.0,Primary,False,779,5.19,none,ai_draft,72.68170426065163,True
E:\Research paper\output\gemini_policy_drafts\DPDP innovation iteration 7 gemini.txt,DPDP innovation iteration 7 gemini.txt,Gemini,Data Protection,Innovation,7.0,Primary,False,623,4.2,none,ai_draft,55.46995377503852,True
E:\Research paper\output\gemini_policy_drafts\DPDP innovation iteration 8 gemini.txt,DPDP innovation iteration 8 gemini.txt,Gemini,Data Protection,Innovation,8.0,Primary,False,749,5.06,none,ai_draft,61.197916666666664,True
E:\Research paper\output\gemini_policy_drafts\DPDP innovation iteration 9 Gemini.txt,DPDP innovation iteration 9 Gemini.txt,Gemini,Data Protection,Innovation,9.0,Primary,False,707,4.89,none,ai_draft,56.01092896174863,True
E:\Research paper\output\gemini_policy_drafts\DPDP status quo iteration 1.txt,DPDP status quo iteration 1.txt,Gemini,Data Protection,Status Quo,1.0,Primary,False,968,6.0,none,ai_draft,77.31958762886599,True
E:\Research paper\output\gemini_policy_drafts\DPDP status quo iteration 10 gemini.txt,DPDP status quo iteration 10 gemini.txt,Gemini,Data Protection,Status Quo,10.0,Primary,False,1185,7.3,none,ai_draft,68.12447434819175,True
E:\Research paper\output\gemini_policy_drafts\DPDP status quo iteration 2 gemini.txt,DPDP status quo iteration 2 gemini.txt,Gemini,Data Protection,Status Quo,2.0,Primary,False,946,5.79,none,ai_draft,72.61410788381744,True
E:\Research paper\output\gemini_policy_drafts\DPDP status quo iteration 3 gemini.txt,DPDP status quo iteration 3 gemini.txt,Gemini,Data Protection,Status Quo,3.0,Primary,False,996,6.16,none,ai_draft,77.23169508525577,True
E:\Research paper\output\gemini_policy_drafts\DPDP status quo iteration 4 gemini.txt,DPDP status quo iteration 4 gemini.txt,Gemini,Data Protection,Status Quo,4.0,Primary,False,874,5.36,none,ai_draft,70.77625570776256,True
E:\Research paper\output\gemini_policy_drafts\DPDP status quo iteration 5 gemini.txt,DPDP status quo iteration 5 gemini.txt,Gemini,Data Protection,Status Quo,5.0,Primary,False,857,5.25,none,ai_draft,73.25581395348837,True
E:\Research paper\output\gemini_policy_drafts\DPDP status quo iteration 6 gemini.txt,DPDP status quo iteration 6 gemini.txt,Gemini,Data Protection,Status Quo,6.0,Primary,False,1004,6.2,none,ai_draft,66.46825396825396,True
E:\Research paper\output\gemini_policy_drafts\DPDP status quo iteration 7 gemini.txt,DPDP status quo iteration 7 gemini.txt,Gemini,Data Protection,Status Quo,7.0,Primary,False,1096,6.58,none,ai_draft,70.84468664850137,True
E:\Research paper\output\gemini_policy_drafts\DPDP status quo iteration 8 gemini.txt,DPDP status quo iteration 8 gemini.txt,Gemini,Data Protection,Status Quo,8.0,Primary,False,1032,6.3,none,ai_draft,63.768115942028984,True
E:\Research paper\output\gemini_policy_drafts\DPDP status quo iteration 9 gemini.txt,DPDP status quo iteration 9 gemini.txt,Gemini,Data Protection,Status Quo,9.0,Primary,False,929,5.67,none,ai_draft,66.45230439442658,True
E:\Research paper\output\gemini_policy_drafts\DPDP unconstrained iteration 1.txt,DPDP unconstrained iteration 1.txt,Gemini,Data Protection,Unconstrained,1.0,Primary,False,811,5.07,none,ai_draft,73.17073170731707,True
E:\Research paper\output\gemini_policy_drafts\DPDP unconstrained iteration 10 gemini.txt,DPDP unconstrained iteration 10 gemini.txt,Gemini,Data Protection,Unconstrained,10.0,Primary,False,966,6.04,none,ai_draft,73.1958762886598,True
E:\Research paper\output\gemini_policy_drafts\DPDP unconstrained iteration 2 gemini.txt,DPDP unconstrained iteration 2 gemini.txt,Gemini,Data Protection,Unconstrained,2.0,Primary,False,963,5.96,none,ai_draft,75.33539731682147,True
E:\Research paper\output\gemini_policy_drafts\DPDP unconstrained iteration 3 gemini.txt,DPDP unconstrained iteration 3 gemini.txt,Gemini,Data Protection,Unconstrained,3.0,Primary,False,901,5.58,none,ai_draft,72.76736493936053,True
E:\Research paper\output\gemini_policy_drafts\DPDP unconstrained iteration 4 gemini.txt,DPDP unconstrained iteration 4 gemini.txt,Gemini,Data Protection,Unconstrained,4.0,Primary,False,964,6.03,none,ai_draft,78.75647668393783,True
E:\Research paper\output\gemini_policy_drafts\DPDP unconstrained iteration 5 gemini.txt,DPDP unconstrained iteration 5 gemini.txt,Gemini,Data Protection,Unconstrained,5.0,Primary,False,695,4.31,none,ai_draft,67.23891273247497,True
E:\Research paper\output\gemini_policy_drafts\DPDP unconstrained iteration 6 gemini.txt,DPDP unconstrained iteration 6 gemini.txt,Gemini,Data Protection,Unconstrained,6.0,Primary,False,838,5.18,none,ai_draft,78.47800237812129,True
E:\Research paper\output\gemini_policy_drafts\DPDP unconstrained iteration 7 gemini.txt,DPDP unconstrained iteration 7 gemini.txt,Gemini,Data Protection,Unconstrained,7.0,Primary,False,867,5.37,none,ai_draft,73.64787111622555,True
E:\Research paper\output\gemini_policy_drafts\DPDP unconstrained iteration 8 gemini_.txt,DPDP unconstrained iteration 8 gemini_.txt,Gemini,Data Protection,Unconstrained,8.0,Primary,False,1028,6.43,none,ai_draft,78.64077669902912,True
E:\Research paper\output\gemini_policy_drafts\DPDP unconstrained iteration 9 gemini.txt,DPDP unconstrained iteration 9 gemini.txt,Gemini,Data Protection,Unconstrained,9.0,Primary,False,921,5.71,none,ai_draft,75.67567567567568,True
E:\Research paper\output\sarvam_policy_drafts\Air status quo iteration 9 sarvam.txt,Air status quo iteration 9 sarvam.txt,Sarvam,Air Pollution,Status Quo,9.0,Supplementary,False,88,0.56,under_3KB|refusal_detected|very_short_output,ai_draft,117.6470588235294,True
E:\Research paper\output\sarvam_policy_drafts\DPDP innovation iteration 7 sarvam.txt,DPDP innovation iteration 7 sarvam.txt,Sarvam,Data Protection,Innovation,7.0,Supplementary,False,1373,9.38,none,ai_draft,89.22443376801648,True
E:\Research paper\output\sarvam_policy_drafts\National innovation iteration 1 sarvam.txt,National innovation iteration 1 sarvam.txt,Sarvam,National Security,Innovation,1.0,Supplementary,True,98,0.8,under_3KB|refusal_detected|very_short_output,ai_draft,125.0,True
E:\Research paper\output\sarvam_policy_drafts\National innovation iteration 2 sarvam.txt,National innovation iteration 2 sarvam.txt,Sarvam,National Security,Innovation,2.0,Supplementary,True,137,0.99,under_3KB|refusal_detected,ai_draft,64.74820143884892,True
E:\Research paper\output\sarvam_policy_drafts\National innovation iteration 6 sarvam.txt,National innovation iteration 6 sarvam.txt,Sarvam,National Security,Innovation,6.0,Supplementary,True,118,0.89,under_3KB|refusal_detected,ai_draft,97.34513274336283,True
E:\Research paper\output\sarvam_policy_drafts\National innovation iteration 7 sarvam.txt,National innovation iteration 7 sarvam.txt,Sarvam,National Security,Innovation,7.0,Supplementary,True,113,0.8,under_3KB|refusal_detected,ai_draft,81.08108108108108,True
E:\Research paper\output\sarvam_policy_drafts\National status quo iteration 10 sarvam.txt,National status quo iteration 10 sarvam.txt,Sarvam,National Security,Status Quo,10.0,Supplementary,True,100,0.67,under_3KB|refusal_detected,ai_draft,60.60606060606061,True
E:\Research paper\output\sarvam_policy_drafts\National unconstrained iteration 1 sarvam.txt,National unconstrained iteration 1 sarvam.txt,Sarvam,National Security,Unconstrained,1.0,Supplementary,True,93,0.67,under_3KB|refusal_detected|very_short_output,ai_draft,102.27272727272728,True
E:\Research paper\output\sarvam_policy_drafts\National unconstrained iteration 10 sarvam.txt,National unconstrained iteration 10 sarvam.txt,Sarvam,National Security,Unconstrained,10.0,Supplementary,True,102,0.72,under_3KB|refusal_detected,ai_draft,103.09278350515463,True
E:\Research paper\output\sarvam_policy_drafts\National unconstrained iteration 4 sarvam.txt,National unconstrained iteration 4 sarvam.txt,Sarvam,National Security,Unconstrained,4.0,Supplementary,False,95,0.7,under_3KB|very_short_output,ai_draft,76.92307692307693,True
E:\Research paper\output\sarvam_policy_drafts\National unconstrained iteration 5 sarvam.txt,National unconstrained iteration 5 sarvam.txt,Sarvam,National Security,Unconstrained,5.0,Supplementary,False,127,0.93,under_3KB,ai_draft,88.0,True
E:\Research paper\output\sarvam_policy_drafts\National unconstrained iteration 6 sarvam.txt,National unconstrained iteration 6 sarvam.txt,Sarvam,National Security,Unconstrained,6.0,Supplementary,False,97,0.72,under_3KB|very_short_output,ai_draft,118.27956989247312,True
E:\Research paper\output\sarvam_policy_drafts\National unconstrained iteration 7 sarvam.txt,National unconstrained iteration 7 sarvam.txt,Sarvam,National Security,Unconstrained,7.0,Supplementary,True,91,0.64,under_3KB|refusal_detected|very_short_output,ai_draft,102.27272727272728,True
E:\Research paper\output\sarvam_policy_drafts\National unconstrained iteration 9 sarvam.txt,National unconstrained iteration 9 sarvam.txt,Sarvam,National Security,Unconstrained,9.0,Supplementary,False,126,0.93,under_3KB,ai_draft,120.0,True
E:\Research paper\extracted_text\broader_corpus\Air pollution\Grap.txt,Grap.txt,Broader,Air Pollution,,,Broader,False,696,6.55,none,broader_corpus,61.484918793503475,True
E:\Research paper\extracted_text\broader_corpus\Air pollution\National_Ambient_Air_Quality_Standards.txt,National_Ambient_Air_Quality_Standards.txt,Broader,Air Pollution,,,Broader,False,537,4.49,none,broader_corpus,18.544935805991443,True
E:\Research paper\extracted_text\broader_corpus\DPDP\Justice B. N. Srikrishna Committee Report on Data Protection (2018).txt,Justice B. N. Srikrishna Committee Report on Data Protection (2018).txt,Broader,Data Protection,,,Broader,False,252,1.58,none,broader_corpus,35.15625,True
